Emoji,final,final_categories
🍕,H,FOOD & DRINKS
💸 ,C,MONEY
🍻,H,FOOD & DRINKS
🏠,U,HOME
🍺 ,H,FOOD & DRINKS
🎉,H,"CELEBRATIONS, FESTIVALS & EVENTS"
❤ ,C,EMOTIONS
🍷 ,H,FOOD & DRINKS
🌮 ,H,FOOD & DRINKS
🔥,C,CONTEXT NEEDED
🍾,H,"CELEBRATIONS, FESTIVALS & EVENTS"
 🔌 ,U,HOME
 ☕ ,C,FOOD & DRINKS
🍹 ,H,FOOD & DRINKS
 💦 ,U,HOME
🏈 ,H,ENTERTAINMENT
🍴 ,C,FOOD & DRINKS
🍔 ,H,FOOD & DRINKS
 😘 ,C,EMOTIONS
 ⛽ ,U,HOME
💡 ,U,HOME
🚗 ,U,TRANSPORTATION
 ⚡ ,U,HOME
🍣 ,H,FOOD & DRINKS
🍗 ,C,FOOD & DRINKS
 🎁 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🍜 ,H,FOOD & DRINKS
 🏀 ,H,ENTERTAINMENT
 🍸 ,H,FOOD & DRINKS
🍆 ,U,FOOD & DRINKS
 💵 ,C,FOOD & DRINKS
 🍳 ,U,FOOD & DRINKS
 🍟 ,H,FOOD & DRINKS
🚕 ,U,TRANSPORTATION
 🍪 ,H,FOOD & DRINKS
 🌯 ,H,FOOD & DRINKS
 🏡 ,U,HOME
📺 ,U,HOME
 💩 ,C,CONTEXT NEEDED
 💕 ,C,EMOTIONS
 💰 ,C,MONEY
✈ ,U,TRANSPORTATION
 🐶 ,H,ANIMALS
 💻 ,U,HOME
 ⚾ ,H,ENTERTAINMENT
🍞,U,FOOD & DRINKS
 🎂 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
 🥂 ,H,FOOD & DRINKS
 😎 ,C,EMOTIONS
 👕 ,U,FASHION
🐔,C,FOOD & DRINKS
🍦 ,H,FOOD & DRINKS
 😍 ,C,EMOTIONS
 🍩 ,H,FOOD & DRINKS
 🧀 ,H,FOOD & DRINKS
 📱 ,U,HOME
🍝 ,H,FOOD & DRINKS
 👯 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
😊 ,C,EMOTIONS
 🎄,H,"CELEBRATIONS, FESTIVALS & EVENTS"
 ⛳ ,H,ENTERTAINMENT
🚙 ,U,TRANSPORTATION
 🍚 ,U,FOOD & DRINKS
 🍲 ,H,FOOD & DRINKS
 🎥 ,H,ENTERTAINMENT
😋 ,C,EMOTIONS
 ✨ ,C,CONTEXT NEEDED
🍤 ,H,FOOD & DRINKS
 🍰 ,H,FOOD & DRINKS
 🍽 ,H,FOOD & DRINKS
 🤗 ,C,EMOTIONS
 🤑 ,C,EMOTIONS
🎶 ,H,ENTERTAINMENT
 😉 ,C,EMOTIONS
 🥗 ,U,FOOD & DRINKS
🍑 ,C,FOOD & DRINKS
 🎫 ,U,CONTEXT NEEDED
 🎟 ,U,CONTEXT NEEDED
🇺🇸 ,H,FLAGS
 ⚽ ,H,ENTERTAINMENT
 🍱 ,H,FOOD & DRINKS
💃 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
 ☀ ,C,CONTEXT NEEDED
 🎤 ,H,ENTERTAINMENT
 😂 ,C,EMOTIONS
🚘 ,U,TRANSPORTATION
 🍖 ,H,FOOD & DRINKS
 ❄ ,C,CONTEXT NEEDED
💃🏻 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
💍 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
 💋 ,C,CONTEXT NEEDED
 🌴 ,H,LEISURE
🎃 ,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🚖 ,U,TRANSPORTATION
 👻,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🍌 ,U,FOOD & DRINKS
🌭 ,H,FOOD & DRINKS
 👅 ,C,EMOTIONS
 😁 ,C,EMOTIONS
 💨 ,U,TRANSPORTATION
 🍎 ,C,FOOD & DRINKS
🥃 ,H,FOOD & DRINKS
 🥓,H,FOOD & DRINKS
😏,C,EMOTIONS
🏨,U,LIFE
🙃,C,EMOTIONS
🍛,H,FOOD & DRINKS
🌊,H,LEISURE
🤡,C,EMOTIONS
💯,C,CONTEXT NEEDED
🎈,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🎳,H,ENTERTAINMENT
🦄,C,ANIMALS
👀,C,EMOTIONS
🐟,C,ANIMALS
👚,U,FASHION
🍼,U,FOOD & DRINKS
🏆,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🍫,H,FOOD & DRINKS
🍵,H,FOOD & DRINKS
🐷,H,FOOD & DRINKS
💥,C,CONTEXT NEEDED
💃🏼,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🌲,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🌶,U,FOOD & DRINKS
👍,C,CONTEXT NEEDED
💙,C,EMOTIONS
😜,C,EMOTIONS
🍀,C,PLANTS
💄,H,FASHION
💜,C,EMOTIONS
😛,C,EMOTIONS
🌈,C,CONTEXT NEEDED
🔙,C,CONTEXT NEEDED
🥘,H,FOOD & DRINKS
💇,U,FASHION
🐓,C,FOOD & DRINKS
📚,U,LIFE
 👶,C,CONTEXT NEEDED
🍓,C,FOOD & DRINKS
🤓,C,EMOTIONS
👌,C,CONTEXT NEEDED
😭,C,EMOTIONS
👗,H,FASHION
🚌,U,TRANSPORTATION
🥞,H,FOOD & DRINKS
🥑,U,FOOD & DRINKS
👙,H,FASHION
🐠,C,ANIMALS
💗,C,EMOTIONS
🍿,H,FOOD & DRINKS
🍊,C,FOOD & DRINKS
🌽,U,FOOD & DRINKS
🍍,C,FOOD & DRINKS
🌹,H,"CELEBRATIONS, FESTIVALS & EVENTS"
😈,C,EMOTIONS
🅿,C,CONTEXT NEEDED
🎊,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🙈,C,EMOTIONS
🚿,U,HOME
👑,H,"CELEBRATIONS, FESTIVALS & EVENTS"
💧,U,HOME
🦀,H,ANIMALS
🌸,H,PLANTS
🐝,H,ANIMALS
💊,U,LIFE
🍇,C,FOOD & DRINKS
🙄,C,EMOTIONS
🍋,C,FOOD & DRINKS
💛,C,EMOTIONS
💐,H,"CELEBRATIONS, FESTIVALS & EVENTS"
👶🏼,C,CONTEXT NEEDED
🌞,C,CONTEXT NEEDED
🔫,C,CONTEXT NEEDED
⛵,H,TRANSPORTATION
🍭,H,FOOD & DRINKS
☺,C,EMOTIONS
👽,C,EMOTIONS
🍉,C,FOOD & DRINKS
☎,U,HOME
😬,C,EMOTIONS
💚,C,EMOTIONS
🙏,C,CONTEXT NEEDED
⭐,C,CONTEXT NEEDED
🙌🏼,C,CONTEXT NEEDED
👖,C,FASHION
🐥,U,FOOD & DRINKS
😄,C,EMOTIONS
💀,C,EMOTIONS
🐻,H,ANIMALS
🦃,H,FOOD & DRINKS
💪,C,CONTEXT NEEDED
🎬,H,ENTERTAINMENT
🏂,H,ENTERTAINMENT
👍🏻,C,CONTEXT NEEDED
🎵,H,ENTERTAINMENT
🏖,H,LEISURE
🐼,H,ANIMALS
👍🏼,C,CONTEXT NEEDED
🥖,U,FOOD & DRINKS
🐕,H,ANIMALS
🙌,C,CONTEXT NEEDED
💖,C,EMOTIONS
💃🏽,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🌚,C,CONTEXT NEEDED
💁🏼,C,FASHION
🚀,C,TRANSPORTATION
👟,U,FASHION
🍬,H,FOOD & DRINKS
😇,C,EMOTIONS
🐣,U,FOOD & DRINKS
🎅,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🌺,H,PLANTS
🍅,U,FOOD & DRINKS
🐱,H,ANIMALS
🏒,H,ENTERTAINMENT
🤠,C,EMOTIONS
🥙,C,FOOD & DRINKS
🏐,H,ENTERTAINMENT
👌🏼,C,CONTEXT NEEDED
⛷,H,ENTERTAINMENT
🍨,H,FOOD & DRINKS
🙌🏻,C,CONTEXT NEEDED
👭,C,CONTEXT NEEDED
🍏,C,FOOD & DRINKS
🍙,H,FOOD & DRINKS
🌼,H,PLANTS
🤔,C,EMOTIONS
🇨🇳,H,FLAGS
👶🏻,C,CONTEXT NEEDED
💅,H,FASHION
🐴,H,ANIMALS
💪🏼,C,CONTEXT NEEDED
🎸,H,ENTERTAINMENT
👰🏼,H,"CELEBRATIONS, FESTIVALS & EVENTS"
♥,C,EMOTIONS
😩,C,EMOTIONS
🎼,H,ENTERTAINMENT
🍃,H,PLANTS
🐄,C,FOOD & DRINKS
🐙,H,ANIMALS
👌🏻,C,CONTEXT NEEDED
🏝,H,LEISURE
👠,H,FASHION
🌵,H,PLANTS
🌳,H,PLANTS
☠,C,CONTEXT NEEDED
🌿,H,PLANTS
💳,U,MONEY
📦,U,LIFE
🤤,C,CONTEXT NEEDED
🏕,H,LEISURE
💉,U,LIFE
💎,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🐐,C,ANIMALS
🍁,H,PLANTS
👰,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🍒,C,FOOD & DRINKS
🤖,C,CONTEXT NEEDED
🏉,H,ENTERTAINMENT
🍶,H,FOOD & DRINKS
👬,C,CONTEXT NEEDED
🌻,H,PLANTS
👹,C,CONTEXT NEEDED
🐳,H,ANIMALS
💣,C,CONTEXT NEEDED
🌷,H,PLANTS
😀,C,EMOTIONS
🐢,H,ANIMALS
🙏🏼,C,CONTEXT NEEDED
🎲,H,ENTERTAINMENT
🔑,U,HOME
🚽,U,HOME
😝,C,EMOTIONS
👾,C,CONTEXT NEEDED
🌟,C,CONTEXT NEEDED
☘,H,PLANTS
🥒,U,FOOD & DRINKS
😻,C,EMOTIONS
🎨,H,LEISURE
📞,U,HOME
🙂,C,EMOTIONS
⛺,H,LEISURE
🐎,H,ANIMALS
🇲🇽,H,FLAGS
🎱,H,ENTERTAINMENT
🥐,H,FOOD & DRINKS
🥚,U,FOOD & DRINKS
🍯,H,FOOD & DRINKS
🐒,H,ANIMALS
🥔,U,FOOD & DRINKS
🤘🏼,C,CONTEXT NEEDED
🐾,H,ANIMALS
🚲,U,TRANSPORTATION
💁🏻,U,FASHION
☃,C,CONTEXT NEEDED
🎿,H,ENTERTAINMENT
📸,H,LEISURE
🐸,H,ANIMALS
🎾,H,ENTERTAINMENT
💓,C,EMOTIONS
👰🏻,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🏢,U,LIFE
🐮,C,FOOD & DRINKS
🔪,U,HOME
😆,C,EMOTIONS
🐍,H,ANIMALS
🖤,C,EMOTIONS
🥛,U,FOOD & DRINKS
🖥,U,HOME
🙏🏻,C,CONTEXT NEEDED
👁,C,CONTEXT NEEDED
🐬,C,ANIMALS
🥤,C,CONTEXT NEEDED
🚬,H,LEISURE
🙊,H,ANIMALS
🌱,H,PLANTS
🍄,C,FOOD & DRINKS
✂,U,HOME
📷,H,LEISURE
😴,C,EMOTIONS
💒,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🍧,H,FOOD & DRINKS
🦅,H,ANIMALS
🍡,H,FOOD & DRINKS
📽,H,ENTERTAINMENT
📖,U,LIFE
🐰,H,ANIMALS
🎭,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🎀,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🎧,H,ENTERTAINMENT
😱,C,EMOTIONS
🤪,C,EMOTIONS
🥪,C,FOOD & DRINKS
🦐,H,FOOD & DRINKS
💪🏻,C,CONTEXT NEEDED
🏃,H,ENTERTAINMENT
🤢,C,EMOTIONS
💁,C,FASHION
🐖,H,FOOD & DRINKS
😳,C,CONTEXT NEEDED
😡,C,CONTEXT NEEDED
🔮,H,LEISURE
🦁,H,ANIMALS
🎯,H,ENTERTAINMENT
🇮🇹,H,FLAGS
🛍,H,FASHION
⛄,H,CONTEXT NEEDED
✌,C,CONTEXT NEEDED
🏎,C,ENTERTAINMENT
🐘,H,ANIMALS
👞,U,FASHION
💞,C,EMOTIONS
🍠,U,FOOD & DRINKS
🤘🏻,C,CONTEXT NEEDED
🥕,U,FOOD & DRINKS
💅🏼,H,FASHION
🎩,H,FASHION
🏚,U,HOME
🇨🇦,H,FLAGS
💲,C,MONEY
🎮,H,ENTERTAINMENT
🤙🏼,C,CONTEXT NEEDED
🍢,H,FOOD & DRINKS
☔,U,HOME
🔋,U,HOME
🚨,U,LIFE
✌🏼,C,CONTEXT NEEDED
👢,H,FASHION
😃,C,EMOTIONS
👏,C,CONTEXT NEEDED
🤩,C,EMOTIONS
😤,C,EMOTIONS
🐊,H,ANIMALS
🍥,H,FOOD & DRINKS
💫,C,CONTEXT NEEDED
🇰🇷,H,FLAGS
🥊,H,ENTERTAINMENT
😢,C,EMOTIONS
💘,C,EMOTIONS
💅🏻,H,FASHION
🥟,H,FOOD & DRINKS
👫,C,CONTEXT NEEDED
😅,C,EMOTIONS
🏌,H,ENTERTAINMENT
🎓,C,LIFE
👔,U,FASHION
🕶,H,FASHION
🎹,H,ENTERTAINMENT
🎎,C,CONTEXT NEEDED
🦆,H,ANIMALS
😑,C,CONTEXT NEEDED
😷,C,CONTEXT NEEDED
🚤,H,TRANSPORTATION
🖕🏼,C,CONTEXT NEEDED
🎆,C,CONTEXT NEEDED
👄,C,CONTEXT NEEDED
🗽,H,LEISURE
🐽,H,FOOD & DRINKS
🚃,U,CONTEXT NEEDED
🤘,C,CONTEXT NEEDED
🐋,H,ANIMALS
🏔,H,LEISURE
🛁,U,HOME
🥇,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🍐,C,FOOD & DRINKS
🚂,U,TRANSPORTATION
👯‍♀️,H,"CELEBRATIONS, FESTIVALS & EVENTS"
📡,U,HOME
🐈,H,ANIMALS
🏰,C,CONTEXT NEEDED
👌🏽,C,CONTEXT NEEDED
🐡,H,ANIMALS
🛫,U,TRANSPORTATION
🎅🏼,H,"CELEBRATIONS, FESTIVALS & EVENTS"
🖕🏻,C,CONTEXT NEEDED
🗿,H,LEISURE
🤷🏼‍♀️,C,EMOTIONS
🍘,H,FOOD & DRINKS
🥜,U,FOOD & DRINKS
🐉,H,ANIMALS
🙌🏽,C,CONTEXT NEEDED
🎷,H,ENTERTAINMENT
🐲,H,ANIMALS
🖕,C,CONTEXT NEEDED
🐤,U,FOOD & DRINKS
😚,C,CONTEXT NEEDED
🎅🏿,H,"CELEBRATIONS, FESTIVALS & EVENTS"
⚓,H,LEISURE
❣,C,CONTEXT NEEDED
🐯,H,ANIMALS
🐂,H,FOOD & DRINKS
🍮,H,FOOD & DRINKS
🕯,U,HOME
🏩,C,LIFE
🐛,H,ANIMALS
🌝,C,CONTEXT NEEDED
🗑,U,HOME
✔,C,CONTEXT NEEDED
🐩,H,ANIMALS
🌎,C,CONTEXT NEEDED
💪🏽,C,CONTEXT NEEDED
🅱,C,CONTEXT NEEDED
🚐,U,TRANSPORTATION
◻,C,CONTEXT NEEDED
🐭,H,ANIMALS
🏘,U,HOME
🐿,H,ANIMALS
🚢,C,TRANSPORTATION
👧🏼,C,CONTEXT NEEDED
👏🏼,C,CONTEXT NEEDED
🥩,H,FOOD & DRINKS
🦑,H,FOOD & DRINKS
😒,C,EMOTIONS
🌀,C,CONTEXT NEEDED
☄,C,CONTEXT NEEDED
🤷🏻‍♀️,C,EMOTIONS
🐑,H,ANIMALS
🐧,H,ANIMALS
🔨,U,HOME
🍂,H,PLANTS
🤣,C,CONTEXT NEEDED
👦🏼,C,CONTEXT NEEDED
💆,H,LEISURE
📲,U,HOME
